name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
GET /assets/app/js/filters/index.js	10	10	0	150	150	-1	270	270	-1	193	193	-1	34	34	-1	270	270	-1	270	270	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/main.js	10	10	0	330	330	-1	490	490	-1	420	420	-1	52	52	-1	490	490	-1	490	490	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /connaissances	10	10	0	240	240	-1	340	340	-1	260	260	-1	29	29	-1	340	340	-1	340	340	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/partials/connaissances.html	10	10	0	140	140	-1	270	270	-1	181	181	-1	47	47	-1	270	270	-1	270	270	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/partials/authenticate.html	10	10	0	140	140	-1	210	210	-1	170	170	-1	25	25	-1	210	210	-1	210	210	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/images/technos/frontend.jpg	10	10	0	270	270	-1	350	350	-1	302	302	-1	26	26	-1	350	350	-1	350	350	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/lib/angular/angular-route.min.js	10	10	0	140	140	-1	270	270	-1	193	193	-1	47	47	-1	270	270	-1	270	270	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/images/presentation/diapo_2.png	10	10	0	370	370	-1	440	440	-1	399	399	-1	22	22	-1	440	440	-1	440	440	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /formations	10	10	0	150	150	-1	220	220	-1	173	173	-1	21	21	-1	220	220	-1	220	220	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/partials/parcours.html	10	10	0	140	140	-1	240	240	-1	167	167	-1	29	29	-1	240	240	-1	240	240	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /actualites	10	10	0	150	150	-1	380	380	-1	198	198	-1	66	66	-1	380	380	-1	380	380	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/partials/technos/database/clubList.html	10	10	0	150	150	-1	190	190	-1	162	162	-1	12	12	-1	190	190	-1	190	190	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/bootstrap.js	10	10	0	730	730	-1	840	840	-1	790	790	-1	31	31	-1	840	840	-1	840	840	-1	t < 800 ms	6	60	800 ms < t < 1200 ms	4	40	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/controllers/indexCtrl.js	10	10	0	140	140	-1	520	520	-1	202	202	-1	107	107	-1	520	520	-1	520	520	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
